Match,Team,Player,Position,Attack Points,Block Points,Serve Points,Efficiency %
Italy vs Poland (Semi),Italy,Egonu,O,15,1,1,21.57
Italy vs Poland (Semi),Italy,Degradi,OH,13,0,0,27.78
Italy vs Poland (Semi),Italy,Fahr,MB,6,3,0,5.00
Italy vs Poland (Semi),Poland,Korneluk,MB,6,5,0,12.90
Italy vs Poland (Semi),Poland,Smarzek,O,7,1,1,20.00
Brazil vs Japan (Semi),Brazil,Gabi,OH,24,1,0,18.67
Brazil vs Japan (Semi),Brazil,Bergmann,OH,23,1,0,17.11
Brazil vs Japan (Semi),Japan,Wada,OH,19,1,0,12.70
Brazil vs Japan (Semi),Japan,Ishikawa,OH,17,1,1,13.70
Italy vs Brazil (Final),Italy,Antropova,O,13,4,1,15.91
Italy vs Brazil (Final),Italy,Sylla,OH,13,3,0,9.43
Italy vs Brazil (Final),Brazil,Gabi,OH,10,4,1,1.56
Italy vs Brazil (Final),Brazil,Julia,MB,7,5,0,2.17
Poland vs Japan (3rd),Poland,Stysiak,O,16,2,0,18.97
Poland vs Japan (3rd),Poland,Korneluk,MB,8,8,0,12.50
Poland vs Japan (3rd),Japan,Shimamura,MB,13,2,0,10.00
Poland vs Japan (3rd),Japan,Ishikawa,OH,12,0,0,-8.62
